127.0.0.1 - - [03/Sep/2021:20:14:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Sep/2021:20:14:47 +0530] "GET /Online_Shopping_Project/table/create_table.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [03/Sep/2021:20:16:13 +0530] "GET /Online_Shopping_Project/table/create_table.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [03/Sep/2021:20:33:57 +0530] "GET /Online_Shopping_Project/login.jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [03/Sep/2021:20:34:16 +0530] "GET /Online_Shopping_Project/login.jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [03/Sep/2021:20:34:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Sep/2021:20:34:34 +0530] "POST /Online_Shopping_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2021:20:34:37 +0530] "GET /Online_Shopping_Project/admin/adminHome.jsp HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [03/Sep/2021:20:34:40 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3648
0:0:0:0:0:0:0:1 - - [03/Sep/2021:20:34:48 +0530] "GET /Online_Shopping_Project/admin/editProduct.jsp?id=1 HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:47:03 +0530] "GET /Online_Shopping_Project/admin/editProduct.jsp?id=1 HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:47:15 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:47:21 +0530] "GET /Online_Shopping_Project/login.jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:47:22 +0530] "GET /Online_Shopping_Project/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:47:30 +0530] "POST /Online_Shopping_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:47:30 +0530] "GET /Online_Shopping_Project/admin/adminHome.jsp HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:47:35 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3648
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:47:38 +0530] "GET /Online_Shopping_Project/admin/editProduct.jsp?id=1 HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:48:34 +0530] "GET /Online_Shopping_Project/admin/editProduct.jsp?id=1 HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:54:45 +0530] "GET /Online_Shopping_Project/admin/editProduct.jsp?id=1 HTTP/1.1" 200 2278
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:54:54 +0530] "POST /Online_Shopping_Project/admin/editProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:54:54 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp?msg=wrong HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:55:56 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp?msg=wrong HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:56:12 +0530] "GET /Online_Shopping_Project/login.jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:56:22 +0530] "POST /Online_Shopping_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:56:22 +0530] "GET /Online_Shopping_Project/admin/adminHome.jsp HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:56:25 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3648
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:56:28 +0530] "GET /Online_Shopping_Project/admin/editProduct.jsp?id=1 HTTP/1.1" 200 2278
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:56:51 +0530] "POST /Online_Shopping_Project/admin/editProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:56:51 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp?msg=wrong HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:58:11 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp?msg=wrong HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:58:14 +0530] "GET /Online_Shopping_Project/admin/editProduct.jsp?id=1 HTTP/1.1" 200 2278
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:58:32 +0530] "POST /Online_Shopping_Project/admin/editProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2021:23:58:32 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp?msg=wrong HTTP/1.1" 200 3710
